,name,url_x,description,score,short_url,url_y,latlon,address,latitude,longitude
0,Studio avec Jardin et Parking Privés,https://www.booking.com/hotel/fr/217-rue-des-iris.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1413801&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a87ea333ae33003b&srepoch=1646176358&from=searchresults#hotelTmpl,"['Hébergement géré par un particulier', ""Situé à Bormes-les-Mimosas, à 2,5 km de la plage de l'Anglade, à 2,7 km de la plage de la Pointe de Gouron et à 3,8 km de La Favière, le Studio avec Jardin et Parking Privés propose un hébergement..."", '38 expériences vécues']","['8,7']",https://www.booking.com/hotel/fr/217-rue-des-iris.fr.html?aid=304142,https://www.booking.com/hotel/fr/217-rue-des-iris.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1413801&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=fb899aed30b100ca&srepoch=1641938523&from=searchresults,"43.14036330,6.33671490","217 Rue des Iris, 83230 Bormes-les-Mimosas, France",43.1403633,6.3367149
1,"4 bedrooms luxury appartment for 10p in Eguisheim, 10 mn from Colmar",https://www.booking.com/hotel/fr/4-bedrooms-luxury-appartment-for-10p-in-eguisheim-10-mn-from-colmar.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1425030&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=b275a3320c52000f&srepoch=1646176358&from=searchresults#hotelTmpl,"['Hébergement géré par un particulier', ""Situé à Eguisheim, à 10 mn de Colmar, au cœur du marché de Noël d'Eguisheim, l'établissement 4 bedrooms luxury apartment for 10 p offre une vue sur la ville. "", '14 expériences vécues']","['8,9']",https://www.booking.com/hotel/fr/4-bedrooms-luxury-appartment-for-10p-in-eguisheim-10-mn-from-colmar.fr.html?aid=304142,https://www.booking.com/hotel/fr/4-bedrooms-luxury-appartment-for-10p-in-eguisheim-10-mn-from-colmar.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1425030&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=f25c9aeca27601bf&srepoch=1641938523&from=searchresults,"48.04267190,7.30556570","2e étage 5 Place du Marché aux Saules, 68420 Eguisheim, France",48.0426719,7.3055657
2,46FM : Montauban Guest House,https://www.booking.com/hotel/fr/46-fm.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1452421&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=b257a3336be401df&srepoch=1646176361&from=searchresults#hotelTmpl,"['Le 46FM : Montauban Guest House se trouve au 46 faubourg du Moustier, sur la plus vieille avenue de Montauban. ', '151 expériences vécues']","['8,8']",https://www.booking.com/hotel/fr/46-fm.fr.html?aid=304142,https://www.booking.com/hotel/fr/46-fm.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1452421&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=b3d49aee968c0009&srepoch=1641938525&from=searchresults,"44.01277500,1.35639000","46 Faubourg du Moustier, 82000 Montauban, France",44.012775,1.35639
3,A l'ombre du Palais,https://www.booking.com/hotel/fr/a-l-39-ombre-du-palais.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1409631&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dc24a333776800c4&srepoch=1646176359&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"[""Situé à 500 mètres du palais des Papes et à 10 minutes à pied du pont d'Avignon, l'établissement A l'ombre du Palais propose des hébergements avec une terrasse commune meublée et une connexion Wi-Fi..."", '72 expériences vécues']","['8,4']",https://www.booking.com/hotel/fr/a-l-39-ombre-du-palais.fr.html?aid=304142,https://www.booking.com/hotel/fr/a-l-39-ombre-du-palais.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1409631&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=894f9aed39fa0007&srepoch=1641938524&from=searchresults,"43.95172900,4.81033900","25 RUE BERTRAND, 84000 Avignon, France",43.951729,4.810339
4,A l'ombre du verger,https://www.booking.com/hotel/fr/a-l-39-ombre-du-verger.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=204055&dest_type=landmark&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=c0b5a332b0930222&srepoch=1646176358&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"['Hébergement géré par un particulier', ""Situé à Breitenau, l'établissement A l'ombre du verger dispose d'un salon commun, d'un jardin, d'une terrasse et d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. "", '64 expériences vécues']","['9,5']",https://www.booking.com/hotel/fr/a-l-39-ombre-du-verger.fr.html?aid=304142,https://www.booking.com/hotel/fr/a-l-39-ombre-du-verger.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=204055&dest_type=landmark&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=e0269aec0d190206&srepoch=1641938522&from=searchresults,"48.32252300,7.28986700","61 rue principale, 67220 Breitenau, France",48.322523,7.289867
5,Abbaye des Capucins Spa & Resort,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1452421&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b257a3336be401df&srepoch=1646176361&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"['L’Abbaye des Capucins Spa & Resort vous accueille à Montauban, à 30 minutes en voiture de Toulouse. ', '1 754 expériences vécues']","['8,4']",https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.fr.html?aid=304142,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1452421&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b3d49aee968c0009&srepoch=1641938525&from=searchresults,"44.02054293,1.34956688","6-8 Quai De Verdun, 82000 Montauban, France",44.02054293,1.34956688
6,Ace Hotel Annecy,https://www.booking.com/hotel/fr/ace-annecy.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=10d8a3322cde01eb&srepoch=1646176358&from=searchresults#hotelTmpl,"[""Doté d'une réception ouverte 24h/24, l'Ace Hotel Annecy est situé à Seynod, à moins de 5 km du lac d'Annecy et du centre-ville d'Annecy. "", '3 275 expériences vécues']","['8,2']",https://www.booking.com/hotel/fr/ace-annecy.fr.html?aid=304142,https://www.booking.com/hotel/fr/ace-annecy.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6f239aed655d0146&srepoch=1641938523&from=searchresults,"45.88008995,6.09713048","8 Boulevard du Semnoz  - Zone d'activités  de Periaz Seynod, 74600 Annecy, France",45.88008995,6.09713048
7,Zenitude Hôtel-Résidences Nîmes Centre,https://www.booking.com/hotel/fr/adagio-access-nimes.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1455068&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=4be3a333ffbe0168&srepoch=1646176359&from=searchresults#hotelTmpl,"['Le Zenitude Hôtel-Résidences Nîmes Centre est une résidence respectueuse de l’environnement située à Nîmes. Le parc des expositions vous attend à 1,6\xa0km. Une connexion Wi-Fi gratuite est disponible. ', '2 213 expériences vécues']","['7,6']",https://www.booking.com/hotel/fr/adagio-access-nimes.fr.html?aid=304142,https://www.booking.com/hotel/fr/adagio-access-nimes.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1455068&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=54a19aedaaee00e4&srepoch=1641938524&from=searchresults,"43.83249328,4.36785668","5 allée Boissy d'Anglas - Triangle de la Gare, 30000 Nîmes, France",43.83249328,4.36785668
8,Hôtel Aiglon,https://www.booking.com/hotel/fr/aiglon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=19aba33224c301d7&srepoch=1646176357&from=searchresults#hotelTmpl,"['Situé au cœur du quartier de Montparnasse, cet hôtel design est à seulement 30 mètres de la station de métro Raspail. Les chambres sont modernes et élégantes avec connexion Wi-Fi gratuite. ', '877 expériences vécues']","['8,8']",https://www.booking.com/hotel/fr/aiglon.fr.html?aid=304142,https://www.booking.com/hotel/fr/aiglon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=44079aec3c9100f9&srepoch=1641938522&from=searchresults,"48.83971177,2.33017266","232 Boulevard Raspail, 14e arr., 75014 Paris, France",48.83971177,2.33017266
9,Hôtel AKENA BESANCON,https://www.booking.com/hotel/fr/akena-besancon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=04dba3325b4701d5&srepoch=1646176358&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"[""Situé à Besançon, à 7\xa0km du parc Micropolis, l'Hôtel AKENA BESANCON propose un restaurant, un parking privé gratuit, un bar et une terrasse. "", '1 193 expériences vécues']","['8,7']",https://www.booking.com/hotel/fr/akena-besancon.fr.html?aid=304142,https://www.booking.com/hotel/fr/akena-besancon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=342d9aec72ac0237&srepoch=1641938523&from=searchresults,"47.23547525,5.90008540","1 Rue Victor Considérant - Parc de L’Echange-Vaux les Prés, 25770 Besançon, France",47.23547525,5.9000854
