,id,location,longitude,latitude,temp_j+0,pop_j+0,clouds_j+0,rain_j+0,rain_vol_j+0,temp_j+1,pop_j+1,clouds_j+1,rain_j+1,rain_vol_j+1,temp_j+2,pop_j+2,clouds_j+2,rain_j+2,rain_vol_j+2,temp_j+3,pop_j+3,clouds_j+3,rain_j+3,rain_vol_j+3,temp_j+4,pop_j+4,clouds_j+4,rain_j+4,rain_vol_j+4,temp_j+5,pop_j+5,clouds_j+5,rain_j+5,rain_vol_j+5,temp_j+6,pop_j+6,clouds_j+6,rain_j+6,rain_vol_j+6,avg_7_days_clouds,7_days_expected_rain_volume,avg_7_days_temp
1,151486647,Mont Saint Michel,-1.511459954959514,48.6359541,10.21,1,91,9.53,9.53,12.25,1,100,2.06,2.06,10.17,0.96,100,3.8,3.6479999999999997,7.85,0.82,100,3.99,3.2718,9.14,0.68,51,0.96,0.6528,8.19,0,1,0.96,0.0,8.24,0,4,0.96,0.0,63.857142857142854,19.162599999999998,9.435714285714285
2,282098015,St Malo,-2.0260409,48.649518,11.89,1,99,8.6,8.6,10.18,1,100,3.28,3.28,8.89,1,100,6.68,6.68,7.96,0.68,100,2.88,1.9584000000000001,8.52,0.45,92,1.2,0.54,7.58,0,3,1.2,0.0,7.15,0,23,1.2,0.0,73.85714285714286,21.0584,8.88142857142857
3,281962470,Bayeux,-0.7024738,49.2764624,9.74,1,100,11.39,11.39,8.77,1,100,3.26,3.26,11.95,0.51,100,0.52,0.2652,9.19,0.67,100,3.89,2.6063,7.95,0.55,1,0.1,0.05500000000000001,6.54,0,7,0.1,0.0,6.67,0,13,0.1,0.0,60.142857142857146,17.5765,8.687142857142858
4,282341149,Le Havre,0.1079732,49.4938975,10.27,1,100,6.94,6.94,8,1,100,1.89,1.89,10.02,0.02,100,1.89,0.0378,10.21,0.08,98,1.89,0.1512,8.25,0.05,0,1.89,0.0945,6.66,0,6,1.89,0.0,7.04,0,2,1.89,0.0,58.0,9.1135,8.635714285714284
5,122848,Rouen,1.0939658,49.4404591,9.9,0.75,97,1.59,1.1925000000000001,8.15,0.7,100,0.15,0.105,9.28,0,100,0.15,0.0,10.43,0,89,0.15,0.0,8.61,0,0,0.15,0.0,7.08,0,9,0.15,0.0,7.63,0,5,0.15,0.0,57.142857142857146,1.2975,8.725714285714286
6,281739181,Paris,2.3200410217200766,48.8588897,7.97,0,100,0.15,0.0,9.36,0,100,0.15,0.0,8.84,0,100,0.15,0.0,10.56,0,7,0.15,0.0,8.67,0,0,0.15,0.0,7.29,0,59,0.15,0.0,7.47,0,11,0.15,0.0,53.857142857142854,0.0,8.594285714285714
7,120890,Amiens,2.2956951,49.8941708,7.32,0.27,100,0.34,0.0918,7.41,0.23,100,0.1,0.023000000000000003,11.24,0,95,0.1,0.0,9.55,0,1,0.1,0.0,8.21,0,0,0.1,0.0,6.36,0,19,0.1,0.0,7.05,0,3,0.1,0.0,45.42857142857143,0.11480000000000001,8.162857142857142
8,121668,Lille,3.0635282,50.6365654,6.43,0.44,100,0.1,0.044000000000000004,6.46,0.25,100,0.1,0.025,9.79,0,97,0.1,0.0,8.42,0,0,0.1,0.0,8.15,0,0,0.1,0.0,6.26,0,44,0.1,0.0,7.04,0,1,0.1,0.0,48.857142857142854,0.069,7.507142857142857
9,121990,Strasbourg,7.7507127,48.584614,5.95,0,60,0.1,0.0,5.99,0,100,0.1,0.0,7.04,0,0,0.1,0.0,7.29,0,0,0.1,0.0,7.51,0,3,0.1,0.0,4.71,0.29,100,0.1,0.028999999999999998,4.6,0.43,98,0.13,0.0559,51.57142857142857,0.0849,6.155714285714287
10,117144990,Chateau du Haut Koenigsbourg,7.34429620253195,48.249489800000006,4.16,0,59,0.13,0.0,4.51,0,99,0.13,0.0,5.6,0,1,0.13,0.0,3.45,0,0,0.13,0.0,3.98,0,3,0.13,0.0,0.93,0.33,97,0.13,0.0429,0.36,0.4,100,0.1,0.04000000000000001,51.285714285714285,0.0829,3.2842857142857143
